ENERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
1,,,CALZADOS GONZALO                                  (IN y MONTAJE),,,,,,2026-Enero.Marzo,63,2026-01-12T10:12:30.821139
2,,,CALZADOS GONZALO,,,,,,2026-Enero.Marzo,64,2026-01-12T10:12:30.821139
3,,,,,,,,,2026-Enero.Marzo,65,2026-01-12T10:12:30.821139
4,,,,,,,,COCKTAIL CICCP 50 PAX/14'00 HRS.,2026-Enero.Marzo,66,2026-01-12T10:12:30.821139
5,,,,,,,,,2026-Enero.Marzo,67,2026-01-12T10:12:30.821139
6,,,,,,,,,2026-Enero.Marzo,68,2026-01-12T10:12:30.821139
7,LUCENTUM ALICANTE,LUCENTUM ALICANTE,LUCENTUM ALICANTE,,,,,,2026-Enero.Marzo,69,2026-01-12T10:12:30.821139
8,LUCENTUM ALICANTE,LUCENTUM ALICANTE,LUCENTUM ALICANTE,,,,,,2026-Enero.Marzo,70,2026-01-12T10:12:30.821139
9,,,,,,,,,2026-Enero.Marzo,71,2026-01-12T10:12:30.821139
10,,,,,,,,,2026-Enero.Marzo,72,2026-01-12T10:12:30.821139
11,,,,,,,,,2026-Enero.Marzo,73,2026-01-12T10:12:30.821139
12,,,,,,,,,2026-Enero.Marzo,74,2026-01-12T10:12:30.821139
13,,,,,,,,,2026-Enero.Marzo,75,2026-01-12T10:12:30.821139
14,,,,,,,ALMUERZO 124 PAX info@iverusviajes.es,,2026-Enero.Marzo,76,2026-01-12T10:12:30.821139
15,,,,,MONTAJE JORGE GARCIA,,,,2026-Enero.Marzo,77,2026-01-12T10:12:30.821139
16,,,,,JORGE GARCIA EXP. CALZADO/MIXTA,,,,2026-Enero.Marzo,78,2026-01-12T10:12:30.821139
17,,,,,JORGE GARCIA EXP. CALZADO/MIXTA,,,,2026-Enero.Marzo,79,2026-01-12T10:12:30.821139
18,,,,,,,,,2026-Enero.Marzo,80,2026-01-12T10:12:30.821139
19,,,,,,,,,2026-Enero.Marzo,81,2026-01-12T10:12:30.821139
20,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,,,,2026-Enero.Marzo,82,2026-01-12T10:12:30.821139
21,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,,,,2026-Enero.Marzo,83,2026-01-12T10:12:30.821139
22,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,,,,2026-Enero.Marzo,84,2026-01-12T10:12:30.821139
23,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,REAL ZARAGOZA,,,,2026-Enero.Marzo,85,2026-01-12T10:12:30.821139
24,,,,,,,,,2026-Enero.Marzo,86,2026-01-12T10:12:30.821139
25,,,,,,,,,2026-Enero.Marzo,87,2026-01-12T10:12:30.821139
26,,,,,,,,,2026-Enero.Marzo,88,2026-01-12T10:12:30.821139
27,,,,,,,,,2026-Enero.Marzo,89,2026-01-12T10:12:30.821139
28,,,,,,,,,2026-Enero.Marzo,90,2026-01-12T10:12:30.821139
29,,,,,,,,,2026-Enero.Marzo,91,2026-01-12T10:12:30.821139
30,,,,,,,,,2026-Enero.Marzo,92,2026-01-12T10:12:30.821139
31,,,,,,,,,2026-Enero.Marzo,93,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,94,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,95,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE ENERO  (MICE + F & B),,,,,,,,,2026-Enero.Marzo,96,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,97,2026-01-12T10:12:30.821139
,2019,2022,2023,2024,2025,2026,,,2026-Enero.Marzo,98,2026-01-12T10:12:30.821139
SALAS,2446.17,90.91,2049.59,2145.45,3207.85,1719.01,,,2026-Enero.Marzo,99,2026-01-12T10:12:30.821139
AUDIOS,0,0,70.25,4325.32,2334.71,247.93,,,2026-Enero.Marzo,100,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,19265.73,0,8114.27,10550.64,4027.88,0,,,2026-Enero.Marzo,101,2026-01-12T10:12:30.821139
BANQUETES,4076.36,854.55,1914.55,9380.64,1575.45,0,,,2026-Enero.Marzo,102,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,1771.59,1353.64,3050.2,3381.82,5945.64,7110.82,,,2026-Enero.Marzo,103,2026-01-12T10:12:30.821139
COFFEE-BREAK,5622.53,9.55,668.18,1570,2150.91,2518.18,,,2026-Enero.Marzo,104,2026-01-12T10:12:30.821139
ROOM-SERVICE,4817.22,1163.99,1371.34,1643.18,471.63,18.41,,,2026-Enero.Marzo,105,2026-01-12T10:12:30.821139
DESAYUNO,22079.38,11665.19,20385.76,32475.88,22198.76,17486.46,,,2026-Enero.Marzo,106,2026-01-12T10:12:30.821139
MINIBAR,1561.14,950,1465.91,1693.64,1330.91,0,,,2026-Enero.Marzo,107,2026-01-12T10:12:30.821139
BAR,1889.27,1031.82,947.95,2834.09,4249.48,0,,,2026-Enero.Marzo,108,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,109,2026-01-12T10:12:30.821139
TOTAL,63529.39,17119.65,40038,70000.65999999999,47493.22,29100.809999999998,,,2026-Enero.Marzo,110,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,111,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-16036.169999999998,,,,,,2026-Enero.Marzo,112,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,30373.57,,,,,,2026-Enero.Marzo,113,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,7455.220000000001,,,,,,2026-Enero.Marzo,114,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-22507.439999999988,,,,,,2026-Enero.Marzo,115,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-18392.410000000003,,,,,,2026-Enero.Marzo,116,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,117,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,118,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,119,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,120,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,121,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,122,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE FEBRERO (MICE + F & B),,,,,,,,,2026-Enero.Marzo,123,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,124,2026-01-12T10:12:30.821139
,2019,2022,2023,2024,2025,2026,,,2026-Enero.Marzo,125,2026-01-12T10:12:30.821139
SALAS,4438.02,764.46,4534.71,6075.62,5207.85,1698.35,,,2026-Enero.Marzo,126,2026-01-12T10:12:30.821139
AUDIOS,0,0,409.09,330.58,694.21,0,,,2026-Enero.Marzo,127,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,18353.64,0,10614.79,13223.43,270.73,0,,,2026-Enero.Marzo,128,2026-01-12T10:12:30.821139
BANQUETES,0,480,4342.73,8880.91,2350.82,2227.27,,,2026-Enero.Marzo,129,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,8560.91,5102.8,952.25,1831.82,8754.96,0,,,2026-Enero.Marzo,130,2026-01-12T10:12:30.821139
COFFEE-BREAK,1546.36,140.91,412.5,2142.73,719.27,0,,,2026-Enero.Marzo,131,2026-01-12T10:12:30.821139
ROOM-SERVICE,5378.93,1857.59,1532.1,2541.31,713.42,0,,,2026-Enero.Marzo,132,2026-01-12T10:12:30.821139
DESAYUNO,30412.04,19818.47,29132.94,37914.67,33138.9,5470.57,,,2026-Enero.Marzo,133,2026-01-12T10:12:30.821139
MINIBAR,1770.45,1117.27,1511.36,2041.5,1789.09,0,,,2026-Enero.Marzo,134,2026-01-12T10:12:30.821139
BAR,2624.27,1100.18,1766.32,1642.98,5638.71,0,,,2026-Enero.Marzo,135,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,136,2026-01-12T10:12:30.821139
TOTAL,73084.62,30381.680000000004,55208.79,76625.55,59277.96,9396.189999999999,,,2026-Enero.Marzo,137,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,138,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-13806.659999999996,,,,,,2026-Enero.Marzo,139,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,28896.279999999995,,,,,,2026-Enero.Marzo,140,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,4069.1699999999983,,,,,,2026-Enero.Marzo,141,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-17347.590000000004,,,,,,2026-Enero.Marzo,142,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-49881.770000000004,,,,,,2026-Enero.Marzo,143,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,144,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,145,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,146,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,147,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE MARZO  (MICE + F & B),,,,,,,,,2026-Enero.Marzo,148,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,149,2026-01-12T10:12:30.821139
,2019,2022,2023,2024,2025,2026,,,2026-Enero.Marzo,150,2026-01-12T10:12:30.821139
SALAS,5125.62,3763.64,2686.36,3955.58,2707.64,400.83,,,2026-Enero.Marzo,151,2026-01-12T10:12:30.821139
AUDIOS,99.17,181.82,285.12,570.25,258.47,0,,,2026-Enero.Marzo,152,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,21437.28,11895.91,11896.18,18730.39,727.73,0,,,2026-Enero.Marzo,153,2026-01-12T10:12:30.821139
BANQUETES,3181.18,354.55,1399.82,7100.68,412.27,0,,,2026-Enero.Marzo,154,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,5964.78,1160.41,0,694.55,14115.82,4968,,,2026-Enero.Marzo,155,2026-01-12T10:12:30.821139
COFFEE-BREAK,753.75,0,636.36,977.95,184.09,0,,,2026-Enero.Marzo,156,2026-01-12T10:12:30.821139
ROOM-SERVICE,3551.03,1667.2,1579.3,1478.92,793.11,0,,,2026-Enero.Marzo,157,2026-01-12T10:12:30.821139
DESAYUNO,32361.91,23782.55,35392.24,30771.83,33823.54,7575.05,,,2026-Enero.Marzo,158,2026-01-12T10:12:30.821139
MINIBAR,1797.73,1579.55,1722.55,1665.73,1962.96,0,,,2026-Enero.Marzo,159,2026-01-12T10:12:30.821139
BAR,4292.91,1254.55,1157.06,1809.71,6133.04,0,,,2026-Enero.Marzo,160,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,161,2026-01-12T10:12:30.821139
TOTAL,78565.36,45640.18000000001,56754.99,67755.59000000001,61118.67,12943.880000000001,,,2026-Enero.Marzo,162,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Enero.Marzo,163,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-17446.690000000002,,,,,,2026-Enero.Marzo,164,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,15478.48999999999,,,,,,2026-Enero.Marzo,165,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,4363.68,,,,,,2026-Enero.Marzo,166,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-6636.920000000013,,,,,,2026-Enero.Marzo,167,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-48174.78999999999,,,,,,2026-Enero.Marzo,168,2026-01-12T10:12:30.821139
